Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
47,CosmoCaixa,Museus i col·leccions,NO,,,1,05,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Titularitat privada,"Fundació Bancària Caixa d'Estalvis i Pensions de Barcelona, ""la Caixa""",,41.413267367,2.130658424
4,DHub / Museu del Disseny,Museus i col·leccions,SI,,,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Ajuntament de Barcelona,Institut de Cultura. Ajuntament de Barcelona,"2/12/2008: el Museu de les Arts Decoratives, el Museu Tèxtil i el Museu de Ceràmica es van constituir com el nou Disseny Hub Barcelona; 2009-2012: el Disseny Hub Barcelona va desenvolupar la seva activitat a les seus del carrer Montcada i del Palau de Pedralbes; 2012: les seus de Montcada i Pedralbes van tancar per preparar trasllat a un nou edifici a la plaça de les Glòries; 13/12/2014: s'inaugura el Disseny Hub Barcelona - Museu del Disseny al nou edifici de la plaça de les Glòries; 2024: el DHub es posiciona com el centre neuràlgic del disseny, larquitectura, laudiovisual, la tecnologia, el videojoc i la innovació i és la seu del Museu del Disseny de Barcelona.",41.4025295461622,2.1880652060461467
200,DHub. Casa Bloc,Museus i col·leccions,NO,4.0,DHub / Museu del Disseny,0,09,Sant Andreu,60,Sant Andreu,Ajuntament de Barcelona,Institut de Cultura. Ajuntament de Barcelona,La Casa Bloc del Museu del Disseny de Barcelona es va inaugurar el 10/03/2012.,41.44094462,2.190335733
457,Dau al Sec,Sales d'arts escèniques,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Titularitat privada,Eix 49,,41.3713037,2.1648109
396,Diobar,Sales de música en viu,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Profedia Central,,41.3855443,2.185382
125,Eixample Teatre,Sales d'arts escèniques,NO,,,1,02,Eixample,08,l'Antiga Esquerra de l'Eixample,Titularitat privada,"Eixample Teatre, Magiajunior-83",,41.385343,2.155808
140,El Maldà,Sales d'arts escèniques,NO,,,1,01,Ciutat Vella,02,el Barri Gòtic,Titularitat privada,Marfúrius,,41.383570271,2.17314987
443,El Paraigua,Sales de música en viu,NO,,,1,01,Ciutat Vella,02,el Barri Gòtic,Titularitat privada,FESVI,,41.3819109,2.1767686
135,El Victòria,Sales d'arts escèniques,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Titularitat privada,Gesteatral del Vallès,,41.374778065,2.169244522
462,Espai Albert Musons,Cases de la Festa,NO,,,1,06,Gràcia,31,la Vila de Gràcia,Ajuntament de Barcelona,Ajuntament de Barcelona,,41.406272949756136,2.156592268505591
386,Espai Bombers Parc de la Prevenció,Museus i col·leccions,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Ajuntament de Barcelona,Ajuntament de Barcelona,,41.373639,2.1543788
482,Espai Salvadiscos,Sales de música en viu,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Titularitat privada,Assoc. Cultural Salvadiscos,,41.37373,2.15617
383,Espai Texas,Cinemes,NO,,,1,06,Gràcia,31,la Vila de Gràcia,Titularitat privada,Cinema Illa Mesina SL i Teatre Texas SL,El 2023 va tornar a obrir aquest espai amb dues sales de cinema i una nova sala teatral de 200 localitats.,41.402039,2.163669
231,Espais VolART i VolART2. Fundació Vila Casas,Centres d'exposicions,NO,,,1,02,Eixample,07,la Dreta de l'Eixample,Titularitat privada,Fundació Vila Casas,,41.390963134,2.175293998
397,Euskal Etxea,Sales de música en viu,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Centre Cultural Euskal Etxea Barcelona,,41.3845051,2.1819542
303,Fabra i Coats - Fàbrica de Creació,Fàbriques de Creació,NO,,,1,09,Sant Andreu,60,Sant Andreu,Ajuntament de Barcelona,Institut de Cultura. Ajuntament de Barcelona,,41.4335588,2.191379525
363,Filmoteca de Catalunya,Cinemes,NO,,,1,01,Ciutat Vella,01,el Raval,Altres administracions públiques,Institut Català de les Empreses Culturals (ICEC). Generalitat de Catalunya,,41.3784206,2.1712328
420,Foment Hortenc,Ateneus,NO,,,1,07,Horta-Guinardó,43,Horta,Titularitat privada,Assoc. Foment Hortenc,,41.4309732,2.1594603999999435
421,Foment Martinenc,Ateneus,NO,,,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Titularitat privada,Assoc. Foment Martinenc,,41.4104593,2.182719499999962
432,Freedonia,Sales de música en viu,NO,,,1,01,Ciutat Vella,01,el Raval,Titularitat privada,Assoc. Cultural Freedonia,,41.3772894,2.1670145
