Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Arts escèniques,Ajuntament de Barcelona,Festivals,15,Mercè Arts de Carrer. MAC,20/09/2024,24/09/2024,104039,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Lletres,Titularitat privada,Fires,42,Setmana del Llibre en Català,20/09/2024,29/09/2024,100000,,Passeig Lluís Companys,Assoc. d'Editors en Llengua Catalana,
2024,Audiovisuals,Titularitat privada,Festivals,6,Festival u22 de cinema jove de Barcelona,25/09/2024,29/09/2024,2413,,"Fundació Joan Miró , Paral·lel 62 i Cinema Zumzeig",Assoc. Letto,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,7,Kronos Art BCN,26/09/2024,21/12/2024,14753,,"Palau Martorell, Utopia46, SOM multiespai, Arnau Gallery i Barcelona Academy of Art",Asoc. ANT cultura y arte 2018,
2024,Música,Titularitat privada,Festivals,10,Festival Cara - B,27/09/2024,29/09/2024,20000,,Parc del Fòrum,"B360 PRODUCCIONS, SL",
2024,Lletres,Consorci o fundació amb presència administracions públiques,Festivals,3,Liternatura. Festival de Literatura de Natura,28/09/2024,05/10/2024,805,,Biblioteca Collserola - Josep Miracle,Biblioteques de Barcelona,
2024,Lletres,Titularitat privada,Fires,42,Liber,30/09/2024,03/10/2024,1706,,Fira de Barcelona Gran Via i Museu Nacional de Art de Catalunya.MNAC,Fira de Barcelona i Fed. Gremis d'Editors de Espanya,
2024,Música,Titularitat privada,Festivals,,Cruïlla Tardor,02/10/2024,12/12/2024,,,Diversos espais de la ciutat,Barcelona Events Musicals,
2024,Lletres,Consorci o fundació amb presència administracions públiques,Festivals,8,Festival Literatura en Trànsit,02/10/2024,05/10/2024,270,,Biblioteques d'Horta Guinardó,Biblioteques de Barcelona,
2024,Música,Titularitat privada,Festivals,9,DescoNNecta. Mostra de Música Jove,03/10/2024,19/10/2024,350,,Lluïsos de Gràcia i Plaça del Nord,Lluïsos de Gràcia,
2024,Audiovisuals,Titularitat privada,Festivals,25,Festival de Cinema Jueu de Barcelona,03/10/2024,28/10/2024,1600,150,Filmoteca de Catalunya i Institut Francès de Barcelona,Ass. festival de cinema jueu de Barcelona,
2024,Audiovisuals,Titularitat privada,Festivals,,NonStop Barcelona Animació,03/10/2024,05/10/2024,,,Disseny Hub Barcelona,Assoc. Art NonStop,
2024,Arts visuals,Titularitat privada,Fires,17,Swab Barcelona,03/10/2024,06/10/2024,5400,,Diversos espais de la ciutat,Espacio de Arte Contemporaneo Diezy7,
2024,Multidisciplinaris i altres,Titularitat privada,Fires,27,BAUM Festival,04/10/2024,06/10/2024,12000,,Fira de Barcelona Montjuïc,Urban Line Concept,
2024,Música,Ajuntament de Barcelona,Festivals,9,Encuentro Pazífico arrullo en el barrio,04/10/2024,04/10/2024,150,,Centre Cultural la Farinera,Centre Cultural La Farinera del Clot. Ajuntament de Barcelona,
2024,Música,Ajuntament de Barcelona,Festivals,1,Festival Interferències,04/10/2024,04/10/2024,700,,"CC Urgell, Pati d'interior d'illa Ermessenda de Carcassona",Centre Cívic Urgell,
2024,Arts escèniques,Titularitat privada,Festivals,19,Festival Internacional de Putxinel·lis d'Hivern,04/10/2024,03/11/2024,,,,Teatre La Puntual,
2024,Música,Titularitat privada,Festivals,29,Festival LEM,04/10/2024,26/10/2024,2353,,Diversos espais de la ciutat,Gràcia Territori Sonor,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,4,Viu Montjuïc,05/10/2024,06/10/2024,14837,,Diversos espais de la ciutat,ICUB i Districte de Sants Montjuïc. Ajuntament de Barcelona. Activitats coorganitzades pels equipaments de Montjuïc i les entitats de l'entorn.,
2024,Lletres,Ajuntament de Barcelona,Festivals,4,42. Festival de Gèneres Fantàstics de Barcelona,06/10/2024,10/10/2024,7500,,Fabra i Coats: Fàbrica de Creació,Institut de Cultura. Ajuntament de Barcelona,
2024,Multidisciplinaris i altres,Altres administracions públiques,Festivals,,Barcelona Pensa,08/10/2024,13/10/2024,,,,Universitat de Barcelona,
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,4,Biennal de pensament Ciutat Oberta ,08/10/2024,13/10/2024,12000,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Lletres,Titularitat privada,Festivals,10,Festival Alcools,08/10/2024,01/04/2025,,,,Fund. Sala Beckett / Obrador Internacional de Dramatúrgia,
